date,value,state,positive,negative,pending,hospitalizedCurrently,hospitalizedCumulative,inIcuCurrently,inIcuCumulative,onVentilatorCurrently,onVentilatorCumulative,recovered,dateChecked,death,hospitalized,total,totalTestResults,posNeg,fips,deathIncrease,hospitalizedIncrease,negativeIncrease,positiveIncrease,totalTestResultsIncrease,state_code,POPESTIMATE2019,name,description,latitude,longitude,Stay At Home Order Date,Emergency Declaration Date
2020-03-14,2229,IA,17.0,83.0,,,,,,,,,2020-03-14T20:00:00Z,,,100.0,100.0,100.0,19,0.0,0.0,0.0,1.0,1.0,,,,,,,,
2020-03-21,40952,IA,68.0,1049.0,,,,,,,,,2020-03-21T20:00:00Z,,,1117.0,1117.0,1117.0,19,0.0,0.0,407.0,23.0,430.0,,,,,,,,
2020-03-07,1365,KS,0.0,11.0,2.0,,,,,,,,2020-03-07T21:00:00Z,,,13.0,11.0,11.0,20,0.0,0.0,7.0,0.0,7.0,,,,,,,,
2020-03-14,1755,KS,6.0,93.0,,,,,,,,,2020-03-14T20:00:00Z,1.0,,99.0,99.0,99.0,20,1.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,23563,KS,55.0,417.0,,,,,,,,,2020-03-21T20:00:00Z,2.0,,472.0,472.0,472.0,20,1.0,0.0,0.0,11.0,11.0,,,,,,,,
2020-03-07,2463,KY,1.0,9.0,,,,,,,,,2020-03-07T21:00:00Z,,,10.0,10.0,10.0,21,0.0,0.0,2.0,1.0,3.0,,,,,,,,
2020-03-14,2785,KY,14.0,139.0,,,,,,,,,2020-03-14T20:00:00Z,,,153.0,153.0,153.0,21,0.0,0.0,32.0,3.0,35.0,,,,,,,,
2020-03-21,49023,KY,54.0,714.0,,,,,,,,,2020-03-21T20:00:00Z,2.0,,768.0,768.0,768.0,21,1.0,0.0,122.0,7.0,129.0,,,,,,,,
2020-03-07,1698,LA,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,22,,,,,,,,,,,,,
2020-03-14,2255,LA,69.0,109.0,,,,,,,,,2020-03-14T20:00:00Z,,,178.0,178.0,178.0,22,0.0,0.0,72.0,33.0,105.0,,,,,,,,
2020-03-21,72438,LA,585.0,2180.0,,,,,,,,,2020-03-21T20:00:00Z,16.0,,2765.0,2765.0,2765.0,22,4.0,0.0,1612.0,106.0,1718.0,,,,,,,,
2020-03-07,715,ME,0.0,1.0,,,,,,,,,2020-03-07T21:00:00Z,,,1.0,1.0,1.0,23,,,,,,,,,,,,,
2020-03-14,634,ME,3.0,91.0,17.0,,,,,,,,2020-03-14T20:00:00Z,,,111.0,94.0,94.0,23,0.0,0.0,0.0,0.0,0.0,,,,,,,,
2020-03-21,21459,ME,73.0,2264.0,,,,,,,,,2020-03-21T20:00:00Z,,,2337.0,2337.0,2337.0,23,0.0,0.0,0.0,16.0,16.0,,,,,,,,
2020-03-07,2675,MD,3.0,41.0,,,,,,,,,2020-03-07T21:00:00Z,,,44.0,44.0,44.0,24,0.0,0.0,15.0,0.0,15.0,,,,,,,,
2020-03-14,3864,MD,26.0,94.0,,,,,,,,,2020-03-14T20:00:00Z,,,120.0,120.0,120.0,24,0.0,0.0,0.0,9.0,9.0,,,,,,,,
2020-03-21,42981,MD,190.0,94.0,,,,,,,,,2020-03-21T20:00:00Z,2.0,,284.0,284.0,284.0,24,1.0,0.0,0.0,41.0,41.0,,,,,,,,
2020-03-07,4712,MA,13.0,,,,,,,,,,2020-03-07T21:00:00Z,,,13.0,13.0,13.0,25,0.0,0.0,0.0,5.0,5.0,,,,,,,,
2020-03-14,7449,MA,138.0,352.0,,,,,,,,,2020-03-14T20:00:00Z,,,490.0,490.0,490.0,25,0.0,0.0,260.0,15.0,275.0,,,,,,,,
2020-03-21,148452,MA,525.0,4752.0,,,61.0,,,,,,2020-03-21T20:00:00Z,1.0,61.0,5277.0,5277.0,5277.0,25,0.0,61.0,1074.0,112.0,1186.0,,,,,,,,
2020-03-07,5150,MI,0.0,18.0,9.0,,,,,,,,2020-03-07T21:00:00Z,,,27.0,18.0,18.0,26,0.0,0.0,10.0,0.0,10.0,,,,,,,,
2020-03-14,5338,MI,25.0,205.0,26.0,,,,,,,,2020-03-14T20:00:00Z,,,256.0,230.0,230.0,26,0.0,0.0,72.0,9.0,81.0,,,,,,,,
2020-03-21,128006,MI,787.0,2069.0,,,,,,,,,2020-03-21T20:00:00Z,5.0,,2856.0,2856.0,2856.0,26,2.0,0.0,0.0,238.0,238.0,,,,,,,,
2020-03-07,3488,MN,1.0,48.0,,,,,,,,,2020-03-07T21:00:00Z,,,49.0,49.0,49.0,27,0.0,0.0,12.0,1.0,13.0,,,,,,,,
2020-03-14,4010,MN,21.0,847.0,,,,,,,,,2020-03-14T20:00:00Z,,,868.0,868.0,868.0,27,0.0,0.0,306.0,7.0,313.0,,,,,,,,
2020-03-21,115773,MN,138.0,3952.0,,,,,,,,,2020-03-21T20:00:00Z,1.0,,4090.0,4090.0,4090.0,27,1.0,0.0,211.0,23.0,234.0,,,,,,,,
2020-03-07,879,MS,0.0,,,,,,,,,,2020-03-07T21:00:00Z,,,0.0,0.0,0.0,28,,,,,,,,,,,,,
