date,value,state
1987-06-20,4119,VA
1987-06-27,5866,VA
1987-07-04,6450,VA
1987-07-11,7814,VA
1987-07-18,4645,VA
1987-07-25,3855,VA
1987-08-01,4650,VA
1987-08-08,4323,VA
1987-08-15,3685,VA
1987-08-22,3053,VA
1987-08-29,3134,VA
1987-09-05,3930,VA
1987-09-12,3208,VA
1987-09-19,3638,VA
1987-09-26,3095,VA
1987-10-03,3357,VA
1987-10-10,3502,VA
1987-10-17,3015,VA
1987-10-24,3707,VA
1987-10-31,4036,VA
1987-11-07,3719,VA
1987-11-14,4092,VA
1987-11-21,6677,VA
1987-11-28,6620,VA
1987-12-05,9425,VA
1987-12-12,8971,VA
1987-12-19,13002,VA
1987-12-26,11475,VA
1988-01-02,10629,VA
1988-01-09,18238,VA
1988-01-16,13874,VA
1988-01-23,9050,VA
1988-01-30,8040,VA
1988-02-06,7731,VA
1988-02-13,7201,VA
1988-02-20,6613,VA
1988-02-27,8430,VA
1988-03-05,6489,VA
1988-03-12,6248,VA
1988-03-19,5441,VA
1988-03-26,7183,VA
1988-04-02,4907,VA
1988-04-09,5738,VA
1988-04-16,5242,VA
1988-04-23,4585,VA
1988-04-30,4294,VA
1988-05-07,3992,VA
1988-05-14,5972,VA
1988-05-21,4662,VA
1988-05-28,4245,VA
1988-06-04,3258,VA
1988-06-11,4051,VA
1988-06-18,3872,VA
1988-06-25,4452,VA
1988-07-02,11213,VA
1988-07-09,8592,VA
1988-07-16,7203,VA
1988-07-23,4673,VA
1988-07-30,4496,VA
1988-08-06,5014,VA
1988-08-13,3731,VA
1988-08-20,3499,VA
1988-08-27,3778,VA
1988-09-03,3415,VA
1988-09-10,4328,VA
1988-09-17,3307,VA
1988-09-24,3191,VA
1988-10-01,3421,VA
1988-10-08,5018,VA
1988-10-15,3448,VA
1988-10-22,4390,VA
1988-10-29,4183,VA
1988-11-05,4819,VA
1988-11-12,3831,VA
1988-11-19,6736,VA
1988-11-26,8361,VA
1988-12-03,6958,VA
1988-12-10,5449,VA
1988-12-17,11627,VA
1988-12-24,18924,VA
1988-12-31,14749,VA
1989-01-07,11300,VA
1989-01-14,10484,VA
1989-01-21,5950,VA
1989-01-28,5992,VA
1989-02-04,5220,VA
1989-02-11,5283,VA
1989-02-18,4813,VA
1989-02-25,4512,VA
1989-03-04,9055,VA
1989-03-11,5681,VA
1989-03-18,5290,VA
1989-03-25,5601,VA
1989-04-01,4467,VA
1989-04-08,5156,VA
1989-04-15,4019,VA
1989-04-22,4201,VA
1989-04-29,4025,VA
1989-05-06,4865,VA
1989-05-13,4724,VA
1989-05-20,3500,VA
1989-05-27,3945,VA
1989-06-03,3715,VA
1989-06-10,4018,VA
1989-06-17,4229,VA
1989-06-24,6237,VA
1989-07-01,8669,VA
1989-07-08,9297,VA
1989-07-15,6343,VA
1989-07-22,5932,VA
1989-07-29,4796,VA
1989-08-05,5574,VA
1989-08-12,3778,VA
1989-08-19,3414,VA
1989-08-26,4383,VA
1989-09-02,4668,VA
1989-09-09,3359,VA
1989-09-16,3900,VA
1989-09-23,4245,VA
1989-09-30,3717,VA
1989-10-07,5509,VA
1989-10-14,4338,VA
1989-10-21,3785,VA
1989-10-28,4571,VA
1989-11-04,4146,VA
1989-11-11,4655,VA
1989-11-18,8937,VA
1989-11-25,5992,VA
1989-12-02,7436,VA
1989-12-09,6429,VA
1989-12-16,11659,VA
1989-12-23,25133,VA
1989-12-30,15607,VA
1990-01-06,18218,VA
1990-01-13,15204,VA
1990-01-20,7417,VA
1990-01-27,6449,VA
1990-02-03,8013,VA
1990-02-10,6878,VA
1990-02-17,5929,VA
1990-02-24,6213,VA
1990-03-03,7444,VA
1990-03-10,6268,VA
1990-03-17,5118,VA
1990-03-24,5234,VA
1990-03-31,5487,VA
1990-04-07,6995,VA
1990-04-14,5061,VA
1990-04-21,8493,VA
1990-04-28,5192,VA
1990-05-05,6970,VA
1990-05-12,4364,VA
1990-05-19,4343,VA
1990-05-26,4342,VA
1990-06-02,4925,VA
1990-06-09,5673,VA
1990-06-16,5024,VA
